url,title,release_date,director,producer,starring,language,imdb_link,tmdb_link
https://oldnothi.bfa.gov.bd/film-details/34,Surja Snan,05 January 1962,Salahuddin,HA Jalil,"Anwar Hossain, Nasima Khan, Roshan Ara, Kazi Khalek",Bengali,,https://www.themoviedb.org/movie/1211697
https://oldnothi.bfa.gov.bd/film-details/33,Kokhono Aseni,24 November 1961,Zahir Raihan,Azizul Haque and Manjurul Haque,"Anis, Shabnam, Narayan Chakraborty, Mejbah Uddin",Bengali,https://imdb.com/title/tt5076748,
https://oldnothi.bfa.gov.bd/film-details/39,Kacher Deyal,18 January 1963,Zahir Raihan,Little Cine Circle,"Anis, Sumita Devi, Anwar Hossain, Shaukat Akbar",Bengali,https://imdb.com/title/tt0945496,
https://oldnothi.bfa.gov.bd/film-details/37,Joyar Elo,24 August 1962,Abdul Jabbar Khan,Abdul Jabbar Khan,"Sultana Zaman, Anwar Hossain, Inam Ahmed, Razia, Saifuddin",Bengali,https://imdb.com/title/tt1244057,https://www.themoviedb.org/movie/764497
https://oldnothi.bfa.gov.bd/film-details/31,Harano Din,04 August 1961,Mustafiz,Ehtesham,"Rahman, Shabnam, Golam Mustafa, Subhash Dutt",Bengali,https://imdb.com/title/tt1189046,https://www.themoviedb.org/movie/93147
https://oldnothi.bfa.gov.bd/film-details/45,Eito Jibon,13 March 1964,Zillur Rahim,,"Rahman, Rozi, Fateh Lohani, Shaukat Akbar, Ghulam Mostafa",Bengali,https://imdb.com/title/tt0989812,
https://oldnothi.bfa.gov.bd/film-details/35,Sonar Kajol,29 January 1962,Zaheer Raihan and Kaleem Sharafi,SM Masood Chowdhury,"Sumita Devi, Sultana Zaman, Khalilullah Khan, Inam Ahmed",Bengali,https://imdb.com/title/tt5813402,
https://oldnothi.bfa.gov.bd/film-details/42,Prit Jane Rit,12 December 1963,Masood Chowdhury,Masood Chowdhury,"Khalil, Golam Mostafa, Anwara, Narayan Chakraborty",Bengali,https://imdb.com/title/tt0058368,
https://oldnothi.bfa.gov.bd/film-details/49,Tanha,29 May 1964,Bebi Islam,,"Haroon, Shamim Ara, Nasima Khan, Shabnam, Sumita Devi",Bengali,https://imdb.com/title/tt0099785,
https://oldnothi.bfa.gov.bd/film-details/27,Edesh Tomar Amar,25 December 1959,Ehtesham,BA Khan,"Rahman, Shabnam, Subhash Dutt, Khan Ata, Sumita Devi",Bengali,https://imdb.com/title/tt1620685,
https://oldnothi.bfa.gov.bd/film-details/46,Sutorang,22 April 1964,Subhash Dutta,MA Khair and CR Chowdhury,"Subhash Dutta, Kabri, Baby Zaman, Rani Sarkar, Shaukat Akbar",Bengali,https://imdb.com/title/tt4955112,https://www.themoviedb.org/movie/759897
https://oldnothi.bfa.gov.bd/film-details/51,Yeh Bhi Ek Kahani,26 June 1964,SM Shafi,,"Harun, Dr. Roshan Ara. Shaukat Akbar",Bengali,https://imdb.com/title/tt5779162,
https://oldnothi.bfa.gov.bd/film-details/44,Shadi,14 February 1964,Kaiser Pasha,,"Nasima Khan, Deep, Dear Azgar, Javed, Shahid",Bengali,,https://www.themoviedb.org/movie/738852
https://oldnothi.bfa.gov.bd/film-details/25,Akash Ar Mati,04 July 1959,Fateh Lohani,Mohammad Shamim & Deerendra  Mohon Saha,"Probir Kumar, Sumita Devi, Aminul Haque, Tejan Chakraborty, Rupa Mukherjee, Rabiul",Bengali,https://imdb.com/title/tt1620687,https://www.themoviedb.org/movie/764487
https://oldnothi.bfa.gov.bd/film-details/48,Dui Digombor,01 May 1964,Obaid-ul Haque,,"Rahman, Sumita Devi, Sujata, Anwara Hossain, Inam Ahmed",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/29,Asiya,04 November 1960,Fateh Lohani,Fateh Lohani,"Sumita Devi, Kazi Khalek, Shahid, Praveer Kumar",Bengali,https://imdb.com/title/tt0945482,
https://oldnothi.bfa.gov.bd/film-details/30,Je Nodi Morupothe,28 April 1964,,,,Bengali,https://imdb.com/title/tt1627063,
https://oldnothi.bfa.gov.bd/film-details/38,Notun Sur,16 November 1962,Ehtesham,Star Corporation,"Rahman, Azim, Inam Ahmed, Narayan Chakraborty",Bengali,https://imdb.com/title/tt5924848,
https://oldnothi.bfa.gov.bd/film-details/26,Matir Pahar,28 August 1959,Mohiuddin,Eastern Theaters,"Kafi Khan, Sultana Zaman, Anees, Roshan Ara",Bengali,https://imdb.com/title/tt1620890,https://www.themoviedb.org/movie/764491
https://oldnothi.bfa.gov.bd/film-details/41,Nachghor,01 November 1963,,,"Golam Mostafa, Anwar Hossain, Shamim Ara",Bengali,https://imdb.com/title/tt2729592,
https://oldnothi.bfa.gov.bd/film-details/40,Taalash,03 May 1963,Mustafiz,Mustafiz Pictures,"Shabnam, Rahman, Shaukat Akbar, Subhash Dutt",Bengali,https://imdb.com/title/tt3787042,
https://oldnothi.bfa.gov.bd/film-details/43,Dharapath,27 December 1963,Salahuddin,Salahuddin,"Hasan Imam, Sujata, Nasima Khan, Amjad Hossain",Bengali,https://imdb.com/title/tt4959504,
https://oldnothi.bfa.gov.bd/film-details/47,Songoba,22 April 1964,,,,Bengali,https://imdb.com/title/tt6833964,
https://oldnothi.bfa.gov.bd/film-details/32,A Desh Tomar Amar,10 November 1961,Mohiuddin,-,"Aminul Haque, Chitra Sinha, Kafi Khan, Anwar Hossain",Bengali,https://imdb.com/title/tt1620685,
